top - 10:16:46 up 1 day, 16:16,  0 users,  load average: 1.55, 1.13, 1.04
Tasks: 221 total,   1 running, 220 sleeping,   0 stopped,   0 zombie
Cpu(s):  1.7%us,  0.8%sy,  0.0%ni, 97.4%id,  0.0%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:    316656k total,   190944k used,   125712k free,    20784k buffers
Swap:        0k total,        0k used,        0k free,    81456k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
 1147 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 SectionDispatcher11
 1148 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 SectionDispatcher12
 1149 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 SectionDispatcher13
 1150 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 SectionDispatcher14
 1151 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 SectionDispatcher15
 1152 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 SectionDispatcher16
 1154 root      30  10  553m  42m  15m S  0.0 13.7   0:02.46 Thread-7           
 1173 root      20   0  553m  42m  15m S  0.0 13.7   0:00.01 jAppCollector      
 1180 root      20   0  553m  42m  15m S  0.0 13.7   0:02.17 DreamparkOcapProxyR
 1181 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 ObjectTracker      
 1183 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 Scheduler0         
 1184 root      20   0  553m  42m  15m S  0.0 13.7   0:00.06 AppRequestHandler1 
 1185 root      20   0  553m  42m  15m S  0.0 13.7   0:07.30 SRecov             
 1186 root      20   0  553m  42m  15m S  0.0 13.7   0:00.91 BaseMotoUIXletProxy
 1187 root      20   0  553m  42m  15m S  0.0 13.7   0:00.30 UIServiceDiagSerial
 1188 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 jSerDiagCmd        
 1196 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 BlinkingTask       
